categoria,product_name,proteins_100g,fat_100g,carbohydrates_100g,energy-kcal_100g,nutriscore_grade
pasta,Ravioles du Dauphiné LABEL ROUGE IGP 240g,13,12,30,280,d
pasta,Nouilles aux oeufs,5.7,1.4,31,162,b
pasta,Penne Rigate Protein +,20,1.7,63,354,a
pasta,Fusilli Protein + Barilla 400g,20,1.7,63,354,a
pasta,Avoines,12,2,72,360,b
pasta,Lustucru tortellini jambon cru 250g,12,7.7,41,285,d
pasta,Ravioles du Dauphiné LABEL ROUGE IGP Lot de,13,12,30,285,d
pasta,SOBA Classic,,,,,d
pasta,"Rana Bacon, mozzarella & speck",12,12,30,284,d
pasta,Les Crozets Nature,13,3,70,365,a
pasta,Ramen,10.8333333333333,1.77833333333333e-05,57.9166666666667,440,unknown
pasta,Fusilli Blé complet,13,2,70,360,a
pasta,Gnocchi,4.5,0.4,37.6,175.669216061185,c
pasta,Monte Regale Italian Spaghetti,12,1.2,71,350,a
pasta,Nouilles japonaises saveur boeuf teppanyaki,1.9,3.5,10,80.5449330657,unknown
pasta,Tortellini Ricotta & Epinard,8.7,5.6,40,251,c
pasta,Saint Jacques,6.66666666666667,2.4,15,110.333333333333,b
pasta,Tortellini ricotta & épinards,9,7.8,35,257,c
pasta,"Grandi Girasoli - Ricotta, Epinards & Mascarpone",11,8.7,26,237,d
pasta,Nouilles aux œufs,,,,,a
pasta,Tortelloni ricotta epinards,8.7,7.8,38,263,c
pasta,Poulet citron,10,15.7142857142857,65.7142857142857,447.142857142857,unknown
pasta,Pates fraiches farcies aux girolles,9.2,9.3,26,237,c
pasta,Pâtes spaghettoni n°7 500g,13,2,71,359,a
pasta,Linguine n° 7,14,1.5,69,351,a
pasta,Vegetable Flavour,,,,,c
pasta,Torsades au blé complet,11,2,65,337,a
pasta,,,,,,unknown
pasta,,11.2,0.16,76.5,352,unknown
pasta,Pasta Lentejas,26,1.7,50,334,a
potatoes,La Rissolée,,,,,a
potatoes,Potato Wedges,2.2,3.3,21,128,c
potatoes,Country Potatoes aux herbes,2.5,5,21,145,b
potatoes,Poêlée de pommes de terre🥔 grenaille,2.6,3.7,19,122,b
potatoes,Chips Snack,2.9,28,59.2,507,d
potatoes,Pommes rissolées dorées et croustillantes,2.5,5.7,22,145,unknown
potatoes,Pommes rissolées,2.5,3,22,130,a
potatoes,Patatas Cocidas,1.2,0,11,53,c
potatoes,pommes de terre façon rôtissoire,3.5,4.8,20,143,b
potatoes,Crispy Hash Browns,2.6,9.3,26,204,c
potatoes,Potato pops signature,2.5,8.5,23,183,c
potatoes,Rissolées du sud ouest,2.4,9.6,17.8,171,c
potatoes,,1.9,0.5,15.9,76,a
potatoes,Pommes rissolées,2.6,3.2,24,139,a
potatoes,Batata Rustica,2.5,6.1,20,150,c
potatoes,Pommes rissolées,2.2,3.3,19,120,b
potatoes,Pommes rissolées 1kg,2.2,2.8,21.9,128,a
potatoes,wedges au thym citron,2.1,7.6,14,139,b
potatoes,Pommes rissolées sachet de 1kg,2.2,3.3,19,120,b
potatoes,Pdt grenaille,2.2,4.4,17,121,c
potatoes,Patatas prefritas con piel,2.6,3.9,21,134,b
potatoes,Tortilla Nature,6.1,7.6,16,160,c
potatoes,Velouté de Poireaux Pomme de terre,0.7,1.5,4.7,38,c
potatoes,Pommes de Terre Entières,1.8,0,17,77,b
potatoes,Pomme de terre sud ouest à l'échirlète,3,8.5,19,27.6666666666667,c
potatoes,Hash Browns,2.92,8.92,28,209,c
potatoes,JACKETS SLOW BAKED,2,0.5,33,15500,b
potatoes,Pomme rissolées en cubes,2.3,2.9,20.8,123,b
